DateTime,temp_c_ple,humidity_ple,pressure_ple,pm1_0a,pm2_5a,pm10_0a,pm1_0b,pm2_5b,pm10_0b,temp_c_keg,humidity_keg,pressure_keg,pm1_0k,pm2_5k,pm10_0k
2024-05-29 16:52:00,37.78,35.0,982.01,16.58,24.93,26.93,14.39,20.07,20.42,35.82,41.14,98218.3,16.62,23.09,23.95
2024-05-29 16:54:00,37.78,35.0,982.0,17.03,25.52,26.91,16.38,23.43,23.87,35.72,41.03,98216.23,16.05,22.46,23.09
2024-05-29 16:56:00,37.22,37.0,982.06,18.05,25.26,26.89,16.38,22.47,23.22,35.63,40.89,98217.68,17.73,25.09,26.01
2024-05-29 16:58:00,37.22,39.0,981.98,18.28,26.35,27.88,17.49,24.54,25.05,35.49,43.73,98221.1,18.7,26.9,27.5
2024-05-29 17:00:00,37.22,38.0,981.97,18.71,28.23,29.27,17.67,26.14,26.53,35.33,42.13,98220.02,17.3,24.22,25.89
2024-05-29 17:02:00,37.22,36.0,981.95,26.63,40.81,42.35,26.07,41.31,42.65,35.17,41.97,98217.2,22.48,32.61,34.01
2024-05-29 17:04:00,37.22,36.0,981.98,25.6,40.12,42.63,22.28,35.02,35.89,35.05,42.58,98219.99,25.7,38.98,40.67
2024-05-29 17:06:00,37.22,37.0,982.0,33.42,54.42,58.6,29.3,49.91,50.79,34.94,41.11,98222.95,26.15,39.6,40.98
2024-05-29 17:08:00,37.22,39.0,981.98,40.11,67.79,72.0,36.75,60.85,63.15,34.78,41.61,98222.54,34.05,56.24,59.6
2024-05-29 17:10:00,37.22,37.0,981.96,31.34,50.93,53.7,29.09,47.41,48.64,34.68,42.48,98221.57,32.6,50.42,52.69
2024-05-29 17:12:00,37.22,39.0,981.97,29.04,47.75,49.86,27.26,43.43,45.47,34.56,41.5,98222.77,28.81,45.36,47.46
2024-05-29 17:14:00,37.22,37.0,982.01,25.14,40.6,43.25,23.6,37.02,38.31,34.49,42.31,98223.02,25.66,40.49,42.24
2024-05-29 17:16:00,37.22,37.0,982.0,22.93,36.46,37.55,21.09,32.54,33.58,34.35,41.38,98222.67,23.5,35.86,36.9
2024-05-29 17:18:00,36.67,36.0,982.02,22.0,34.25,34.7,20.55,31.64,32.55,34.18,41.08,98223.97,21.89,33.4,35.14
2024-05-29 17:20:00,36.67,39.0,982.03,20.44,33.2,34.17,19.23,30.0,30.43,33.98,41.44,98223.99,21.22,31.8,32.45
2024-05-29 17:22:00,36.67,37.0,982.04,19.75,30.73,33.96,17.98,27.45,27.71,33.79,41.81,98226.61,21.71,31.48,32.81
2024-05-29 17:24:00,36.67,38.0,982.06,19.68,30.29,32.48,17.93,25.47,25.91,33.77,43.27,98229.83,18.64,27.89,28.55
2024-05-29 17:26:00,36.67,40.0,982.05,19.36,28.79,30.67,18.5,28.64,28.86,33.76,42.83,98231.54,19.24,28.48,29.5
2024-05-29 17:28:00,36.67,38.0,981.99,20.86,31.02,33.57,19.71,30.15,30.78,33.73,43.49,98231.07,20.24,29.5,30.59
2024-05-29 17:30:00,36.67,37.0,982.08,22.39,33.64,35.37,19.77,31.49,32.25,33.67,42.75,98230.42,20.82,29.94,30.69
2024-05-29 17:32:00,36.67,40.0,982.09,22.7,36.43,38.61,20.21,30.76,31.64,33.59,42.36,98233.5,21.78,32.86,34.11
2024-05-29 17:34:00,36.67,39.0,982.12,22.07,34.59,36.02,19.69,29.81,30.45,33.62,45.78,98237.2,21.54,32.89,33.78
2024-05-29 17:36:00,36.67,39.0,982.07,20.91,31.03,32.55,20.54,29.89,31.0,33.68,44.67,98237.4,20.66,31.22,32.05
2024-05-29 17:38:00,36.67,41.0,982.07,21.44,33.32,34.54,20.02,29.45,30.16,33.7,43.86,98237.61,20.84,30.34,31.66
2024-05-29 17:40:00,36.67,39.0,982.15,20.85,31.95,34.13,19.89,29.54,29.77,33.72,44.02,98239.75,20.62,30.88,31.92
2024-05-29 17:42:00,36.67,39.0,982.17,19.5,30.05,31.22,18.43,27.41,28.84,33.71,42.94,98242.56,20.89,30.22,31.35
